arm,run_id,cumulative_updates,new_forwards,new_full_calls,cumulative_forwards,cumulative_full_calls,new_infeasible,new_rejections,model_seconds,cumulative_model_seconds,q_per_measurement,objective,alpha,mu,penalized_gradient_max
unit,calibration-w8-p1-unit-a01-e2245d062b5d,19,49,3,250,24,10,10,712.0591774601489,1899.44431021309,16.951367613250273,8.475682479068865,0.0009765625,1e-06,0.12914242105537396
unit,calibration-w8-p1-unit-a01-e2245d062b5d,20,53,5,254,26,10,11,747.3357966244221,1934.720929377363,16.950894896316914,8.475446119528463,0.5,1e-06,0.23421130980829713
unit,calibration-w8-p1-unit-a01-e2245d062b5d,21,59,8,260,29,10,13,800.0088151078671,1987.393947860808,16.949818807369695,8.474908069713834,0.25,1e-06,0.25206001013564683
unit,calibration-w8-p1-unit-a01-e2245d062b5d,22,61,9,262,30,10,13,817.6396606005728,2005.0247933535138,16.946946233627514,8.473471783571311,1.0,1e-06,0.1653937360417393
unit,calibration-w8-p1-unit-a01-e2245d062b5d,23,64,10,265,31,11,14,840.229039689526,2027.614172442467,16.94482817137515,8.472412753434261,0.5,1e-06,0.13490048836336774
unit,calibration-w8-p1-unit-a01-e2245d062b5d,24,70,11,271,32,15,18,877.4098053146154,2064.7949380675564,16.944469957337425,8.472233647671986,0.0625,1e-06,0.13829568938707004
unit,calibration-w8-p1-unit-a01-e2245d062b5d,25,81,12,282,33,24,27,940.6696378681809,2128.054770621122,16.944451766326097,8.472224552931833,0.001953125,1e-06,0.13822023021817098
unit,calibration-w8-p1-unit-a01-e2245d062b5d,26,95,13,296,34,36,39,1016.8724209051579,2204.257553658099,16.944448916563413,8.472223128434843,0.000244140625,1e-06,0.1379034979189264
unit,calibration-w8-p1-unit-a01-e2245d062b5d,27,108,14,309,35,47,50,1088.2381693050265,2275.6233020579675,16.944444093398022,8.472220718053268,0.00048828125,1e-06,0.12973682354591565
unit,calibration-w8-p1-unit-a01-e2245d062b5d,28,112,16,313,37,47,51,1123.4508570861071,2310.835989839048,16.941806503072936,8.470901915096517,0.5,1e-06,0.16134075687690697
unit,calibration-w8-p1-unit-a01-e2245d062b5d,29,114,17,315,38,47,51,1141.1382591482252,2328.523391901166,16.938914134927405,8.469455732347146,1.0,1e-06,0.22597203185384607
unit,calibration-w8-p1-unit-a01-e2245d062b5d,30,120,18,321,39,51,55,1178.2219884768128,2365.607121229754,16.938637228981964,8.469317279309521,0.0625,1e-06,0.19061517693316318
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,19,39,3,240,24,0,0,663.9330184198916,1851.3181511728326,16.951368760624824,8.475683052380251,0.000244140625,1e-06,0.1439818099907494
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,20,41,4,242,25,0,0,681.7394656836987,1869.1245984366396,16.951368018916337,8.475682681456147,0.00048828125,1e-06,0.14559128553364223
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,21,43,5,244,26,0,0,699.6507723629475,1887.0359051158885,16.951366246142737,8.475681795675762,0.0009765625,1e-06,0.11763746372734905
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,22,45,6,246,27,0,0,717.5576859097928,1904.9428186627338,16.95135983394367,8.475678588811885,0.001953125,1e-06,0.1482282202473601
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,23,47,7,248,28,0,0,735.2073455750942,1922.5924783280352,16.951353141837618,8.475675242857026,0.00390625,1e-06,0.14644799078313364
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,24,49,8,250,29,0,0,752.8683419302106,1940.2534746831516,16.95130048778273,8.475648915027453,0.0078125,1e-06,0.15030658343085745
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,25,51,9,252,30,0,0,770.2772061508149,1957.6623389037559,16.951214710790637,8.475606026170588,0.015625,1e-06,0.14965952013498074
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,26,53,10,254,31,0,0,787.9348579738289,1975.31999072677,16.95101580550115,8.475506572645726,0.03125,1e-06,0.14906538836435376
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,27,57,11,258,32,2,2,815.3981816340238,2002.7833143869648,16.950857873420805,8.475427607358135,0.015625,1e-06,0.1433627343790439
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,28,59,12,260,33,2,2,833.2537818048149,2020.638914557756,16.950530600466905,8.47526396963613,0.03125,1e-06,0.14487206488956053
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,29,61,13,262,34,2,2,851.189681103453,2038.574813856394,16.949893670852852,8.474945503682365,0.0625,1e-06,0.14411416782551656
adaptive,calibration-w8-p1-adaptive-a01-63c238cc1d3b,30,71,14,272,35,10,10,908.8333446867764,2096.2184774397174,16.949877882230293,8.474937609610251,0.00048828125,1e-06,0.1432252516815181
