width,run_id,cumulative_accepted_updates,cumulative_forwards,cumulative_full_calls,cumulative_model_seconds,q_per_measurement,alpha,segment_cumulative_infeasible_trials,segment_cumulative_line_search_rejections,plateau_passed
8,continuation-w8-p1-m96-a01-c4bba83de04a,31,332,43,2506.519634994096,16.93569301286386,0.5,1,1,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,32,335,44,2529.010977346101,16.934993866663426,0.5,2,2,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,33,337,45,2546.4434882510686,16.932381612373227,1.0,2,2,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,34,339,46,2564.2282296400517,16.93151126434265,1.0,2,2,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,35,347,50,2634.89068911504,16.93122371480213,0.125,2,5,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,36,351,52,2670.359343988006,16.93035656669391,0.5,2,6,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,37,353,53,2687.6981717360904,16.92930821712004,1.0,2,6,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,38,355,54,2706.8961766411085,16.928744900368542,1.0,2,6,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,39,357,55,2724.64643809502,16.92417392140138,1.0,2,6,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,40,359,56,2742.3025370280957,16.92175888642998,1.0,2,6,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,41,361,57,2760.063953048084,16.91614274197679,1.0,2,6,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,42,363,58,2777.8415583750466,16.90881675598474,1.0,2,6,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,43,370,59,2819.8083603590494,16.907679819406766,0.03125,7,11,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,44,377,60,2861.610312455101,16.90667636462955,0.03125,12,16,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,45,386,61,2913.528701266041,16.906334719173632,0.0078125,19,23,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,46,396,62,2970.407790585072,16.90611538942974,0.00390625,27,31,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,47,408,63,3036.8501676591113,16.90604568337865,0.0009765625,37,41,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,48,424,64,3123.8160079590743,16.906037890407255,6.103515625e-05,51,55,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,49,426,65,3141.620768494089,16.90137821600204,1.0,51,55,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,50,432,66,3179.056195900077,16.899124979024904,0.0625,55,59,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,51,439,67,3221.173148432048,16.898006250232736,0.03125,60,64,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,52,447,68,3268.5669141530525,16.897327590657312,0.015625,66,70,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,53,462,69,3354.0698236171156,16.897321050669166,0.0001220703125,79,83,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,54,477,70,3435.6379747180035,16.897315536580326,0.0001220703125,92,96,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,55,490,71,3507.051856325008,16.897297164638967,0.00048828125,103,107,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,56,498,75,3577.786747622071,16.895078016254065,0.125,103,110,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,57,500,76,3595.4629483130993,16.88429764668155,1.0,103,110,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,58,502,77,3613.140493559069,16.871283855057776,1.0,103,110,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,59,504,78,3630.795761070098,16.86786678650876,1.0,103,110,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,60,506,79,3648.5053406551015,16.852105552139648,1.0,103,110,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,61,508,80,3666.1873561940156,16.83313907010888,1.0,103,110,False
8,continuation-w8-p1-m96-a01-c4bba83de04a,62,510,81,3683.882275464013,16.810939332719094,1.0,103,110,False
